,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,throughput,goodThroughput,retransmissionsPerPacket,w
105,0.0,0.0,26.0,35.0,28.0,7.0,113.0,81.0,7.8584070796460175,9.8536,2.4416,0.7168141592920354,2.0
106,0.0,0.0,31.0,35.0,35.0,7.0,105.0,69.0,8.514285714285714,9.156,3.052,0.6571428571428571,2.0
107,0.0,0.0,29.0,35.0,32.0,9.0,110.0,76.0,7.363636363636363,9.592,2.7904,0.6909090909090909,2.0
108,0.0,0.0,29.0,35.0,30.0,7.0,108.0,73.0,7.944444444444445,9.4176,2.616,0.6759259259259259,2.0
109,0.0,0.0,26.0,35.0,27.0,12.0,109.0,78.0,7.926605504587156,9.5048,2.3544,0.7155963302752294,2.0
110,0.0,0.0,36.0,35.0,36.0,4.0,103.0,66.0,7.864077669902913,8.9816,3.1392,0.6407766990291263,2.0
111,0.0,0.0,26.0,34.0,30.0,9.0,108.0,75.0,8.222222222222221,9.4176,2.616,0.6944444444444444,2.0
112,0.0,0.0,23.0,29.0,26.0,7.0,114.0,83.0,8.105263157894736,9.9408,2.2672,0.7280701754385965,2.0
113,0.0,0.0,35.0,35.0,39.0,2.0,102.0,63.0,8.352941176470589,8.8944,3.4008,0.6176470588235294,2.0
114,0.0,0.0,28.0,35.0,29.0,7.0,101.0,69.0,8.376237623762377,8.8072,2.5288,0.6831683168316832,2.0
115,0.0,0.0,29.0,35.0,32.0,5.0,114.0,79.0,8.105263157894736,9.9408,2.7904,0.6929824561403509,2.0
116,0.0,0.0,23.0,35.0,25.0,4.0,107.0,76.0,8.242990654205608,9.3304,2.18,0.7102803738317757,2.0
117,0.0,0.0,30.0,35.0,31.0,3.0,106.0,72.0,8.264150943396226,9.2432,2.7032,0.6792452830188679,2.0
118,0.0,0.0,30.0,35.0,31.0,9.0,104.0,72.0,8.307692307692308,9.0688,2.7032,0.6923076923076923,2.0
119,0.0,0.0,28.0,35.0,31.0,7.0,122.0,84.0,7.967213114754099,10.6384,2.7032,0.6885245901639344,2.0
120,0.0,0.0,25.0,28.0,29.0,5.0,101.0,73.0,7.900990099009901,8.8072,2.5288,0.7227722772277227,2.0
121,0.0,0.0,27.0,35.0,29.0,5.0,119.0,84.0,8.016806722689076,10.3768,2.5288,0.7058823529411765,2.0
122,0.0,0.0,30.0,35.0,30.0,4.0,97.0,61.0,8.474226804123711,8.4584,2.616,0.6288659793814433,2.0
123,0.0,0.0,28.0,35.0,29.0,10.0,100.0,67.0,8.4,8.72,2.5288,0.67,2.0
124,0.0,0.0,25.0,35.0,27.0,7.0,113.0,79.0,8.123893805309734,9.8536,2.3544,0.6991150442477876,2.0
125,0.0,0.0,27.0,35.0,30.0,6.0,114.0,79.0,8.105263157894736,9.9408,2.616,0.6929824561403509,2.0
126,0.0,0.0,29.0,35.0,32.0,5.0,104.0,68.0,8.307692307692308,9.0688,2.7904,0.6538461538461539,2.0
127,0.0,0.0,27.0,35.0,34.0,3.0,116.0,84.0,7.655172413793103,10.1152,2.9648,0.7241379310344828,2.0
128,0.0,0.0,27.0,34.0,29.0,2.0,109.0,77.0,8.20183486238532,9.5048,2.5288,0.7064220183486238,2.0
129,0.0,0.0,24.0,29.0,27.0,7.0,101.0,69.0,8.376237623762377,8.8072,2.3544,0.6831683168316832,2.0
130,0.0,0.0,31.0,35.0,37.0,2.0,109.0,71.0,8.20183486238532,9.5048,3.2264,0.6513761467889908,2.0
131,0.0,0.0,25.0,35.0,26.0,7.0,106.0,71.0,9.0,9.2432,2.2672,0.6698113207547169,2.0
132,0.0,0.0,29.0,35.0,33.0,6.0,117.0,81.0,7.794871794871795,10.2024,2.8776,0.6923076923076923,2.0
