devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retrans_ratio
0.0,0.0,74.0,74.0,76.0,10.0,84.0,10.0,41.86046511627907,0.14481635555555553,7.3304,6.4528,0.11904761904761904,3.0,9.0,40.0,23.0,0.5866181818181818
0.0,0.0,74.0,74.0,74.0,15.0,91.0,17.0,44.043956043956044,0.13763704590818363,7.9352,6.4528,0.18681318681318682,4.0,8.0,40.0,23.0,0.35848888888888886
1.0,1.0,77.0,77.0,78.0,6.0,83.0,6.0,40.642857142857146,0.15520168717047447,7.1568,6.63248,0.07228915662650602,2.0,10.0,40.0,23.0,0.9474971428571429
0.0,0.0,78.0,78.0,84.0,8.0,86.0,8.0,40.04347826086956,0.15957055374592832,7.51296,6.8016,0.09302325581395349,2.0,10.0,40.0,23.0,0.7557333333333333
0.0,0.0,78.0,78.0,82.0,12.0,91.0,13.0,40.65625,0.15716550345887775,7.94752,6.8016,0.14285714285714285,4.0,8.0,40.0,23.0,0.4858285714285714
0.0,0.0,77.0,77.0,82.0,4.0,81.0,4.0,40.01162790697674,0.15765017146178437,7.07568,6.7144,0.04938271604938271,2.0,10.0,40.0,23.0,1.34288
0.0,0.0,77.0,77.0,77.0,13.0,90.0,13.0,44.13333333333333,0.14292688821752264,7.848,6.7144,0.14444444444444443,2.0,10.0,40.0,23.0,0.4796
0.0,0.0,79.0,79.0,79.0,5.0,86.0,7.0,43.53488372093023,0.1486550427350427,7.4992,6.8888,0.08139534883720931,2.0,10.0,40.0,23.0,0.8611
0.0,0.0,80.0,80.0,81.0,6.0,86.0,6.0,43.5,0.15065747126436782,7.50496,6.976,0.06976744186046512,2.0,10.0,40.0,23.0,0.9965714285714286
0.0,1.0,85.0,85.0,91.0,18.0,119.0,34.0,37.104,0.18766709788702027,10.30848,7.33008,0.2857142857142857,2.0,10.0,40.0,23.0,0.20943085714285714
0.0,0.0,83.0,83.0,83.0,2.0,85.0,2.0,38.32941176470588,0.17739275629220377,7.412,7.2376,0.023529411764705882,2.0,10.0,40.0,23.0,2.412533333333333
0.0,0.0,83.0,83.0,83.0,7.0,90.0,7.0,41.766666666666666,0.16279393455706304,7.848,7.2376,0.07777777777777778,4.0,8.0,40.0,23.0,0.9047
0.0,0.0,83.0,83.0,83.0,8.0,91.0,8.0,42.56043956043956,0.15975774851536276,7.9352,7.2376,0.08791208791208792,3.0,9.0,40.0,23.0,0.8041777777777778
0.0,0.0,81.0,82.0,81.0,4.0,86.0,4.0,42.94186046511628,0.1564310425128622,7.4992,7.0632,0.046511627906976744,3.0,9.0,40.0,23.0,1.4126400000000001
