,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,throughput,goodThroughput,retransmissionsPerPacket,w
101,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,26.210526315789473,3.3136,3.052,0.07894736842105263,2.0
102,0.0,0.0,33.0,34.0,33.0,5.0,39.0,5.0,27.23076923076923,3.4008,2.8776,0.1282051282051282,2.0
103,0.0,0.0,32.0,32.0,32.0,1.0,33.0,1.0,26.0,2.8776,2.7904,0.030303030303030304,2.0
104,0.0,0.0,34.0,33.0,34.0,5.0,38.0,5.0,26.842105263157894,3.3136,2.9648,0.13157894736842105,2.0
105,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,26.833333333333332,3.1392,3.052,0.027777777777777776,2.0
106,0.0,0.0,34.0,34.0,34.0,2.0,40.0,6.0,27.3,3.488,2.9648,0.15,2.0
107,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,27.53846153846154,3.4008,3.052,0.10256410256410256,2.0
108,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,27.384615384615383,3.4008,3.052,0.10256410256410256,2.0
109,0.0,0.0,35.0,35.0,35.0,2.0,39.0,4.0,26.615384615384617,3.4008,3.052,0.10256410256410256,2.0
110,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.405405405405407,3.2264,3.052,0.05405405405405406,2.0
111,0.0,0.0,32.0,32.0,32.0,4.0,36.0,4.0,27.0,3.1392,2.7904,0.1111111111111111,2.0
112,0.0,0.0,32.0,33.0,32.0,3.0,35.0,2.0,27.771428571428572,3.052,2.7904,0.05714285714285714,2.0
113,0.0,0.0,35.0,34.0,35.0,3.0,40.0,6.0,26.1,3.488,3.052,0.15,2.0
114,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,26.68421052631579,3.3136,3.052,0.07894736842105263,2.0
115,0.0,0.0,34.0,34.0,34.0,3.0,37.0,3.0,27.243243243243242,3.2264,2.9648,0.08108108108108109,2.0
116,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,26.526315789473685,3.3136,3.052,0.07894736842105263,2.0
117,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,26.78048780487805,3.5752,3.052,0.14634146341463414,2.0
118,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,26.526315789473685,3.3136,3.052,0.07894736842105263,2.0
119,0.0,0.0,33.0,35.0,33.0,5.0,39.0,5.0,28.0,3.4008,2.8776,0.1282051282051282,2.0
120,0.0,0.0,32.0,32.0,32.0,2.0,34.0,2.0,26.294117647058822,2.9648,2.7904,0.058823529411764705,2.0
121,0.0,0.0,34.0,32.0,34.0,5.0,38.0,5.0,27.0,3.3136,2.9648,0.13157894736842105,2.0
122,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.56756756756757,3.2264,3.052,0.05405405405405406,2.0
123,0.0,0.0,34.0,34.0,34.0,3.0,37.0,3.0,28.054054054054053,3.2264,2.9648,0.08108108108108109,2.0
124,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,27.365853658536587,3.5752,3.052,0.14634146341463414,2.0
125,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.89189189189189,3.2264,3.052,0.05405405405405406,2.0
126,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,27.365853658536587,3.5752,3.052,0.14634146341463414,2.0
127,0.0,0.0,34.0,35.0,34.0,2.0,37.0,2.0,27.89189189189189,3.2264,2.9648,0.05405405405405406,2.0
128,0.0,0.0,33.0,32.0,33.0,4.0,36.0,4.0,27.333333333333332,3.1392,2.8776,0.1111111111111111,2.0
129,0.0,0.0,33.0,33.0,33.0,1.0,34.0,1.0,28.41176470588235,2.9648,2.8776,0.029411764705882353,2.0
130,0.0,0.0,34.0,34.0,34.0,5.0,41.0,7.0,26.78048780487805,3.5752,2.9648,0.17073170731707318,2.0
131,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.94736842105263,3.3136,3.052,0.07894736842105263,2.0
132,0.0,0.0,34.0,34.0,34.0,4.0,38.0,4.0,27.63157894736842,3.3136,2.9648,0.10526315789473684,2.0
133,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.89189189189189,3.2264,3.052,0.05405405405405406,2.0
134,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,27.692307692307693,3.4008,3.052,0.10256410256410256,2.0
135,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.89189189189189,3.2264,3.052,0.05405405405405406,2.0
136,0.0,0.0,33.0,35.0,33.0,3.0,37.0,3.0,28.054054054054053,3.2264,2.8776,0.08108108108108109,2.0
137,0.0,0.0,32.0,32.0,32.0,3.0,35.0,3.0,27.257142857142856,3.052,2.7904,0.08571428571428572,2.0
138,0.0,0.0,34.0,32.0,34.0,3.0,36.0,3.0,27.333333333333332,3.1392,2.9648,0.08333333333333333,2.0
139,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,28.390243902439025,3.5752,3.052,0.14634146341463414,2.0
140,0.0,0.0,34.0,35.0,34.0,2.0,37.0,2.0,27.243243243243242,3.2264,2.9648,0.05405405405405406,2.0
141,0.0,0.0,35.0,34.0,35.0,5.0,39.0,5.0,28.46153846153846,3.4008,3.052,0.1282051282051282,2.0
142,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,27.333333333333332,3.1392,3.052,0.027777777777777776,2.0
143,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,28.2,3.488,3.052,0.125,2.0
144,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,27.333333333333332,3.1392,3.052,0.027777777777777776,2.0
145,0.0,0.0,32.0,33.0,32.0,6.0,39.0,6.0,28.46153846153846,3.4008,2.7904,0.15384615384615385,2.0
146,0.0,0.0,33.0,32.0,33.0,1.0,33.0,1.0,26.90909090909091,2.8776,2.8776,0.030303030303030304,2.0
147,0.0,0.0,34.0,34.0,34.0,5.0,39.0,5.0,27.384615384615383,3.4008,2.9648,0.1282051282051282,2.0
148,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.89189189189189,3.2264,3.052,0.05405405405405406,2.0
149,0.0,0.0,34.0,34.0,34.0,6.0,40.0,6.0,27.45,3.488,2.9648,0.15,2.0
150,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,28.0,3.1392,3.052,0.027777777777777776,2.0
151,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,27.0,3.488,3.052,0.125,2.0
152,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,28.307692307692307,3.4008,3.052,0.10256410256410256,2.0
153,0.0,0.0,34.0,35.0,34.0,3.0,38.0,3.0,27.157894736842106,3.3136,2.9648,0.07894736842105263,2.0
154,0.0,0.0,31.0,32.0,31.0,4.0,35.0,4.0,27.942857142857143,3.052,2.7032,0.11428571428571428,2.0
155,0.0,0.0,34.0,32.0,34.0,5.0,38.0,5.0,26.842105263157894,3.3136,2.9648,0.13157894736842105,2.0
156,0.0,0.0,35.0,35.0,35.0,7.0,42.0,7.0,27.428571428571427,3.6624,3.052,0.16666666666666666,2.0
157,0.0,0.0,34.0,35.0,34.0,4.0,39.0,4.0,27.23076923076923,3.4008,2.9648,0.10256410256410256,2.0
158,0.0,0.0,35.0,34.0,35.0,6.0,40.0,6.0,28.65,3.488,3.052,0.15,2.0
159,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.0,3.3136,3.052,0.07894736842105263,2.0
160,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,28.307692307692307,3.4008,3.052,0.10256410256410256,2.0
161,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.157894736842106,3.3136,3.052,0.07894736842105263,2.0
162,0.0,0.0,33.0,33.0,33.0,4.0,37.0,4.0,28.7027027027027,3.2264,2.8776,0.10810810810810811,2.0
163,0.0,0.0,32.0,32.0,32.0,4.0,36.0,4.0,26.5,3.1392,2.7904,0.1111111111111111,2.0
164,0.0,0.0,34.0,34.0,34.0,4.0,38.0,4.0,27.94736842105263,3.3136,2.9648,0.10526315789473684,2.0
165,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,26.634146341463413,3.5752,3.052,0.14634146341463414,2.0
166,0.0,0.0,34.0,34.0,34.0,2.0,36.0,2.0,27.666666666666668,3.1392,2.9648,0.05555555555555555,2.0
167,0.0,0.0,35.0,35.0,35.0,4.0,41.0,6.0,25.902439024390244,3.5752,3.052,0.14634146341463414,2.0
168,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,27.166666666666668,3.1392,3.052,0.027777777777777776,2.0
169,0.0,0.0,35.0,35.0,35.0,4.0,40.0,5.0,26.55,3.488,3.052,0.125,2.0
170,0.0,0.0,34.0,35.0,34.0,1.0,36.0,1.0,27.166666666666668,3.1392,2.9648,0.027777777777777776,2.0
171,0.0,0.0,31.0,32.0,31.0,3.0,34.0,2.0,26.647058823529413,2.9648,2.7032,0.058823529411764705,2.0
172,0.0,0.0,34.0,32.0,34.0,2.0,35.0,3.0,27.771428571428572,3.052,2.9648,0.08571428571428572,2.0
173,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.31578947368421,3.3136,3.052,0.07894736842105263,2.0
174,0.0,0.0,34.0,35.0,34.0,8.0,43.0,8.0,25.674418604651162,3.7496,2.9648,0.18604651162790697,2.0
175,0.0,0.0,35.0,34.0,35.0,1.0,35.0,1.0,26.4,3.052,3.052,0.02857142857142857,2.0
176,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.473684210526315,3.3136,3.052,0.07894736842105263,2.0
177,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,27.666666666666668,3.1392,3.052,0.027777777777777776,2.0
178,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,27.804878048780488,3.5752,3.052,0.14634146341463414,2.0
179,0.0,0.0,33.0,33.0,33.0,1.0,34.0,1.0,27.529411764705884,2.9648,2.8776,0.029411764705882353,2.0
180,0.0,0.0,32.0,32.0,32.0,7.0,39.0,7.0,27.53846153846154,3.4008,2.7904,0.1794871794871795,2.0
181,0.0,0.0,34.0,34.0,34.0,1.0,35.0,1.0,26.228571428571428,3.052,2.9648,0.02857142857142857,2.0
182,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,26.926829268292682,3.5752,3.052,0.14634146341463414,2.0
183,0.0,0.0,34.0,34.0,34.0,4.0,38.0,4.0,26.526315789473685,3.3136,2.9648,0.10526315789473684,2.0
184,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,27.0,3.488,3.052,0.125,2.0
185,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,26.756756756756758,3.2264,3.052,0.05405405405405406,2.0
186,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,27.15,3.488,3.052,0.125,2.0
187,0.0,0.0,34.0,35.0,34.0,1.0,36.0,1.0,26.5,3.1392,2.9648,0.027777777777777776,2.0
188,0.0,0.0,32.0,32.0,32.0,7.0,39.0,7.0,26.153846153846153,3.4008,2.7904,0.1794871794871795,2.0
189,0.0,0.0,33.0,32.0,33.0,2.0,34.0,2.0,26.647058823529413,2.9648,2.8776,0.058823529411764705,2.0
190,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,27.0,3.488,3.052,0.125,2.0
191,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,26.76923076923077,3.4008,3.052,0.10256410256410256,2.0
192,0.0,0.0,34.0,34.0,34.0,3.0,37.0,3.0,26.91891891891892,3.2264,2.9648,0.08108108108108109,2.0
193,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,26.4,3.488,3.052,0.125,2.0
194,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,26.68421052631579,3.3136,3.052,0.07894736842105263,2.0
195,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.0,3.3136,3.052,0.07894736842105263,2.0
196,0.0,0.0,33.0,33.0,33.0,7.0,40.0,7.0,26.85,3.488,2.8776,0.175,2.0
197,0.0,0.0,32.0,32.0,32.0,4.0,36.0,4.0,26.333333333333332,3.1392,2.7904,0.1111111111111111,2.0
198,0.0,0.0,34.0,34.0,34.0,5.0,39.0,5.0,26.76923076923077,3.4008,2.9648,0.1282051282051282,2.0
199,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,25.846153846153847,3.4008,3.052,0.10256410256410256,2.0
200,0.0,0.0,34.0,34.0,34.0,3.0,37.0,3.0,26.27027027027027,3.2264,2.9648,0.08108108108108109,2.0
201,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,26.91891891891892,3.2264,3.052,0.05405405405405406,2.0
202,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,26.756756756756758,3.2264,3.052,0.05405405405405406,2.0
203,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,28.536585365853657,3.5752,3.052,0.14634146341463414,2.0
204,0.0,0.0,34.0,35.0,34.0,3.0,38.0,3.0,26.210526315789473,3.3136,2.9648,0.07894736842105263,2.0
205,0.0,0.0,32.0,32.0,32.0,3.0,35.0,3.0,26.914285714285715,3.052,2.7904,0.08571428571428572,2.0
206,0.0,0.0,33.0,32.0,33.0,4.0,36.0,4.0,26.333333333333332,3.1392,2.8776,0.1111111111111111,2.0
207,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,26.85,3.488,3.052,0.125,2.0
208,0.0,0.0,34.0,35.0,34.0,3.0,38.0,3.0,26.210526315789473,3.3136,2.9648,0.07894736842105263,2.0
209,0.0,0.0,35.0,34.0,35.0,5.0,41.0,7.0,27.365853658536587,3.5752,3.052,0.17073170731707318,2.0
210,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,25.23076923076923,3.4008,3.052,0.10256410256410256,2.0
211,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,26.48780487804878,3.5752,3.052,0.14634146341463414,2.0
212,0.0,0.0,35.0,35.0,35.0,0.0,35.0,0.0,26.228571428571428,3.052,3.052,0.0,2.0
213,0.0,0.0,31.0,33.0,31.0,5.0,37.0,5.0,26.594594594594593,3.2264,2.7032,0.13513513513513514,2.0
214,0.0,0.0,34.0,32.0,34.0,4.0,38.0,5.0,26.68421052631579,3.3136,2.9648,0.13157894736842105,2.0
215,0.0,0.0,34.0,34.0,34.0,4.0,38.0,4.0,26.36842105263158,3.3136,2.9648,0.10526315789473684,2.0
216,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.473684210526315,3.3136,3.052,0.07894736842105263,2.0
217,0.0,0.0,34.0,34.0,34.0,6.0,40.0,6.0,26.85,3.488,2.9648,0.15,2.0
218,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,26.756756756756758,3.2264,3.052,0.05405405405405406,2.0
219,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,26.923076923076923,3.4008,3.052,0.10256410256410256,2.0
